OBJECTID,X,Y,Z,Layer,GUID,MUTCD,width,height,content,comments,condition,assembly_id,Longitude,Latitude
897,409466.37656875,3163593.694194531,171.0770127578735,Sign,890a043d-a156-4b67-a4ab-3819383d29d5,Unknown,0.4419289231300354,0.3310779333114624,,,Remove,c5fc9614-d5f2-4acc-96a8-d69ab9e7a5e1,-99.92590586766318,28.59614737222363
898,415969.5015913181,3155256.305105898,158.2019617864862,Sign,6d84cf9a-4289-4c7f-a9ae-021297c8f129,R7-1,0.3742657899856566,0.4923991791442996,NO PARKING ANY TIME,,Good,c2837eb8-73aa-411f-82d9-b16d8ea96021,-99.858792478191,28.521335649378358
899,400617.8833763847,3166925.210148959,185.5304509075359,Sign,3004ebbb-b501-4eaf-b50c-a80348851f44,M3-1,0.6865494481608738,0.2790839948157459,NORTH,,Good,fe539acc-bfd1-4581-968b-2c1a1840eb21,-100.01667953115953,28.625566583667776
900,397032.7880205329,3166996.315387845,175.1066538989544,Sign,ab4e629d-8149-4699-8c9e-60621615c1d7,W17-2T,0.9682399854084944,0.991688831217224,RUMBLE STRIPS AHEAD,,Good,2901902d-a4e5-4fb5-97d6-17133ec45840,-100.05335647236966,28.625928258559664
901,416006.3947231445,3155247.406141486,158.1181644359604,Sign,6114ec53-ea1f-4357-88df-eace5e928fc4,W3-3,1.014420587773413,1.016895467048327,,,Good,0a3fb5fc-963c-4bd9-8086-58aec6249b55,-99.85841481419747,28.521257713746078
902,395825.138584701,3167001.046443222,183.2302405675873,Sign,b17fcd11-27ac-4cd1-a1c3-bf80bbc180d4,R13-3T,1.580347879227872,0.8213686176151727,USE LOW BEAMS,,Good,fefd6e49-bb1c-433e-8418-3bcc2219b679,-100.06570943233825,28.62587438597985
903,417909.8623606796,3155716.372117538,155.1282045403495,Sign,572f4d66-d8b1-4aea-bf8d-57d1f55718ae,W3-3,0.990321156478248,1.013027980789595,,,Good,715644da-5c6c-46c7-bec4-07c0c87e3126,-99.83899661698975,28.52561194711097
904,417372.6224547115,3157828.743970766,153.1277170088142,Sign,6e698d72-0fd9-4704-8715-df48d7aa87c2,M1-6FS,0.6702969612175446,0.6025169334124967,FARM 1407 ROAD,,Good,34d9c065-bc01-4bdd-938f-ab3f5945124d,-99.84463898379079,28.544643361140754
905,449106.6617536493,3160930.531372711,143.2675084583461,Sign,5576d1d5-4330-42c1-bd53-75e8ce62d2a3,M1-6T,0.6415775388600952,0.6441843097390885,85 TEXAS,,Good,55c7bbf6-60ee-42a9-ac27-7906f2dbdca4,-99.52039730803685,28.574271023400577
906,437236.8800432221,3138212.285932404,142.1723492890596,Sign,ae83a2f2-1353-4504-85f5-fb127fafc6e9,M3-3,0.6085391808747538,0.2703724562454869,SOUTH,,Good,c8b4090c-c3d3-4900-9f4e-9d19b7a56090,-99.64052518986044,28.3686939780186
907,417189.2358934198,3157602.964067568,153.4964060541242,Sign,5dbd8a76-ede3-4bef-a539-3e2fbd7df9b4,M3-1,0.6511523173040711,0.3322751434665319,NORTH,,Good,d2955c76-4dfe-4353-9bd5-2c15967abf96,-99.84649714904673,28.54259389110614
908,433960.3717205946,3160958.592591838,140.9643677687272,Sign,f95c6256-f95a-4c40-bf2d-72d69838591a,D1-2,1.592055153360399,0.6849455462009431,Big Wells 7   Dilley 33,,Good,398d81f0-396d-4c95-8bed-a8ba945e6b23,-99.67526576126728,28.573842011544073
909,416153.7942156254,3155286.04080659,155.9940134091303,Sign,effddd91-5ba4-4394-955f-29289a7d07c4,R14-1,0.6507543035269423,0.587490893208776,TRUCK ROUTE,,Good,f61b7cc3-c28d-48d5-91a8-e6005854b237,-99.85691134924585,28.52161592408027
910,397681.6280970963,3166982.813266062,174.7039519958198,Sign,7e808542-9dad-487b-828a-cbe570a0e4f3,W3-6,1.273487619937967,1.266182518419743,INSPECTION STATION AHEAD,,Good,353fd681-ed5b-4700-8725-548a07b9fe1c,-100.04671853131268,28.625857822321812
911,434011.6954418027,3160973.975466975,140.8907944848761,Sign,bfff5a45-3fd1-40be-b197-d155597d00f7,M1-6T,0.6491010461732565,0.6654365635844554,85 TEXAS,,Good,2b7f8d13-e41c-421c-a9fa-69ddc4f456d1,-99.67474188388302,28.573983466382074
912,415731.9795508454,3158565.592827096,160.5965910078958,Sign,d7440faf-022a-4e8b-ada7-29a0be133c1a,W1-8,0.5245973253632027,0.6485765628928591,RIGHT,,Good,62959bb8-31cc-4686-9397-64756f95f870,-99.8614626494556,28.55118847418332
913,439364.872387275,3136607.873070749,133.6904533915222,Sign,9b7a4b60-201a-44e5-9e41-57ec032e1848,W6-1,0.9855288250733336,0.9795073622620644,,,Good,b4a545ba-88ca-43c1-80e1-3256bc98088b,-99.61872515725986,28.35431238084003
914,417420.9253854676,3168845.067668839,148.228610903956,Sign,c88bcaa1-cdf3-448b-b7a1-72dbce30d655,I-2dT,1.590417611857093,1.041674712772321,Zavala COUNTY LINE,,Good,6fdcc19d-7d6b-45d3-8d9f-5da406ef9f7e,-99.84494006226895,28.64407455792111
915,417801.4296227227,3155613.595634874,151.1908833831549,Sign,40d299ac-a25b-40ae-833d-304ef5879f5c,M3-2,0.676321458338288,0.3624665737152096,EAST,,Good,3d6249a1-f89b-4865-93dd-68337babe3b2,-99.840097393658,28.524677475879287
916,415766.0060361529,3155242.137111863,161.7776636686176,Sign,92fae7e3-cda1-4f97-be15-671960e76005,M1-6L,0.6664022523005467,0.6776572253770216,LOOP 225,,Good,fa1f9f51-e429-4b61-8478-10a426fb797f,-99.86087097329718,28.521194613139805
917,416207.0464382042,3155409.379288443,158.6544409710914,Sign,abbc1389-b584-4665-8fe8-dc9bf994e653,D3-1,1.463016271591186,0.2502364244595517,FIRST ST.,,Good,b0cbd7f2-cd2e-440b-9463-90d0417e1296,-99.85637615567411,28.522732558809444
918,415485.181011899,3155429.400249002,164.9333791360259,Sign,69612c8d-dd3b-451d-903d-ec8c12946d83,R10-2,0.3528835475444793,0.3194253169709904,Push Button For Walk Signal,,Good,b3e58d14-6950-4aa9-9dfb-6daf9f402228,-99.86375451247866,28.52286655565768
919,433177.4079902861,3141564.933509761,155.8804494664073,Sign,5efdfb7e-fbbb-46e9-acd2-7c21e7113091,W11-10,1.025183406217962,1.022864808350227,,,Good,28d391a2-c811-42df-8c57-34be3011d631,-99.68214519444238,28.398754541609566
920,397150.9553101956,3166993.607900253,174.4706108598039,Sign,c32338f6-f00b-4e96-838b-bdf33eafe061,R13-3T,1.584158771470578,0.8166537768483683,USE LOW BEAMS,,Good,43fd5946-403f-497b-8819-8c1adc6f7d97,-100.05214754286347,28.62591321246075
