OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation
208,680935.5677336284,1304831.871470334,215.8126720518081,Sign Face,,R2-1,1.214688687812625,1.324921689947133,,164.09951181390792
209,682805.1746928538,1305589.158963862,210.2472408774772,Sign Face,YIELD,R1-2,1.961659649851441,2.533466484290095,,149.2278593262446
210,682788.3203390767,1305749.897490854,225.2313823749516,Sign Face,N Springbrook Rd,D3-1,10.08845767949823,2.291765347553363,,-107.26077456249348
211,678737.3245048462,1303960.405882467,190.0589474454768,Sign Face,,M6-1B,1.804448683743714,1.375845528337273,,66.50285495902207
212,673259.828735656,1303779.707377556,170.7467961410966,Sign Face,FOR SALE,D4-1,4.10528437984897,6.313337272233537,,-86.62181007205857
213,678345.4888140501,1303624.976047586,183.4864621624988,Sign Face,Church St,D3-1,3.295899845483734,1.281681922789947,,-87.9355338042395
214,673665.0685317313,1303831.017859231,179.3822943919728,Sign Face,,D3-1,1.02364113481026,0.8680033949729338,,85.02894208560608
215,671907.14149069,1302390.069382915,168.9974099857103,Sign Face,CENTER LANE ONLY,R3-8a,3.185531911574636,4.288843219361593,,-125.87236996737347
216,682896.2676610912,1305008.755478226,205.2425658207994,Sign Face,35,R2-1,2.57583349708497,3.292713108963853,,6.905380639427798
217,673860.8263801155,1303965.711115119,193.41073094761,Sign Face,"PREPARE TO STOP
WHEN LIGHTS FLASH",W3-4,5.664698329810395,3.321328031735157,,-134.91255867131068
218,682967.6315357118,1305723.013987584,217.8389796659518,Sign Face,"Shorewood 1
St. Joseph 2 1/2
Braidwood 9
St. Paul 7",D1-2,6.078956477598255,5.372930855888707,,-107.72272639016423
219,675184.5559677805,1304069.14888425,197.5396119615353,Sign Face,25,R2-1,3.026428967323203,4.143430179185441,,-87.85603982932574
220,681138.8908976397,1304961.826892242,213.6821423527578,Sign Face,ONE WAY DO NOT ENTER,R5-1a,1.692126390189323,2.492756199023229,,160.9099191665632
221,682928.1845622866,1305662.964645226,214.7452201342148,Sign Face,,D1-1,2.643790614260776,2.564664861661555,,-86.39925761427645
222,677045.0198686094,1303922.072480249,185.3097119268286,Sign Face,,W11-2,4.061361153920491,4.276924637046073,,-54.82939550896088
223,682091.7770435243,1305550.166950656,214.8549865461839,Sign Face,,W16-7P,1.714656672139806,1.516850112773615,,-80.99321998907621
224,681800.2324471702,1305441.688975216,221.2493603222768,Sign Face,Push Button Wait For Walk Signal,R10-3e,1.099473965449596,1.638193573225827,,-17.335195424783688
225,675990.3964475136,1304040.1897251,198.5297092527358,Sign Face,,D3-1,2.651777010890129,5.095525598275692,,92.01954200513507
