OBJECTID,X,Y,Z,Layer,Text,MUTCD
180,3115182.677294596,1213137.369121242,5419.079234771311,Sign Face,NO TRAIN HORN,W10-11
181,3115294.790322143,1213392.183981065,5424.894167806686,Sign Face,ONLY,M6-1R
182,3115219.169356566,1213394.181636908,5425.286046442568,Sign Face,SOUTH 121,M1-5
183,3115312.764418822,1213379.890467881,5424.330258933286,Sign Face,ONLY,M6-1R
184,3115221.762945027,1213382.250969794,5413.756513092101,Sign Face,,R4-7
185,3115182.748982726,1213137.320261175,5421.793687442521,Sign Face,R R,W10-1
186,3115218.190953755,1213390.135062201,5424.580281927168,Sign Face,,D3-1
187,3115239.829154947,1213429.921574245,5420.82326006053,Sign Face,NICKEL ST 1600 W,D3-1
188,3112557.811182738,1214453.137877956,5438.785238717775,Sign Face,NO PARKING ANY TIME,R7-8
189,3115228.149997029,1213409.451609239,5424.779273434858,Sign Face,287,M1-4
190,3115541.252513508,1211526.391846258,5453.157478503565,Sign Face,NO DUMPING,R8-3
191,3112406.256467061,1214451.04090001,5441.568990645389,Sign Face,ANYTIME,R7-5
192,3115480.137380858,1211920.633311916,5452.088265615881,Sign Face,,D3-1
193,3115688.368572468,1214302.544744411,5402.266656643927,Sign Face,DO NOT ENTER,R5-1
194,3115688.588042276,1214302.505496161,5404.178569577913,Sign Face,SPEED LIMIT 25,R2-1
195,3115195.286796243,1213318.414091131,5421.7955772658,Sign Face,HWY 287,D3-1
196,3111951.055660278,1214426.710989732,5449.695806447646,Sign Face,,R2-1
197,3115411.722073648,1213536.599119615,5408.48962567844,Sign Face,,D3-1
198,3115415.520343098,1213568.147504014,5405.782234813751,Sign Face,,M6-1R
199,3116839.726408569,1211870.516900681,5418.810006917695,Sign Face,BLOOMFIELD EAGLES 40408,D3-1
200,3111845.935229166,1214484.106349432,5451.241965049486,Sign Face,,
201,3112685.319536722,1214498.239724473,5434.8263280316,Sign Face,,
202,3111649.975723906,1214418.259800157,5455.226872538905,Sign Face,,
203,3111620.898577555,1214420.062816717,5455.340275233169,Sign Face,,
204,3111677.378611988,1214431.79724258,5454.913665619076,Sign Face,,
205,3115841.671437255,1211864.08219009,5441.54467950819,Sign Face,"NO TRESPASSING
Woody Mountain Ranch",R5-11
206,3116905.134819213,1211880.385432684,5422.217555404882,Sign Face,NO TRAIN HORN,W10-9
207,3116905.149236938,1211880.238051499,5424.806638326228,Sign Face,RAILROAD CROSSBUCK,R15-1
208,3110738.005181558,1214926.594327541,5418.888428326031,Sign Face,,W1-2
209,3111621.00090335,1214420.14852208,5454.000496909996,Sign Face,STOP,R1-1
210,3116175.365668416,1210426.827282863,5435.874016019881,Sign Face,,
211,3115615.726468993,1211862.449382778,5443.515056503197,Sign Face,,
212,3115181.985243814,1213137.889761297,5421.749786597471,Sign Face,,OM3
213,3112418.261225259,1214496.198014471,5440.719931218605,Sign Face,NO PARKING,R7-1
214,3114948.976391478,1213177.590567979,5418.699017346284,Sign Face,STAY IN LANE,R4-9
215,3112330.385594258,1214494.486310166,5447.302210725924,Sign Face,ANY TIME,R7-302
216,3114949.174635192,1213177.651442816,5421.23567644475,Sign Face,ONLY,R3-8
217,3115415.39619047,1213568.079420314,5403.755806098362,Sign Face,,
218,3115182.35609973,1213230.874473212,5419.484630024016,Sign Face,,
219,3114054.747059508,1213722.586165106,5426.561636480074,Sign Face,,D3-1
220,3112836.595109232,1214478.477829942,5436.745014918229,Sign Face,,W1-8L
221,3115180.981609984,1212705.164985703,5427.282522710542,Sign Face,DO NOT ENTER,R5-1
222,3114055.115111978,1213722.118390041,5427.334014137169,Sign Face,INDUSTRIAL LANE,D3-1
223,3110766.077092111,1214955.822259263,5416.882502941668,Sign Face,,
224,3110737.904257486,1214926.54466649,5421.165089668016,Sign Face,,W11-15
225,3115690.086684651,1211380.62905095,5455.17306185482,Sign Face,,
226,3112557.842821634,1214453.150693711,5438.138690750977,Sign Face,No Parking,R7-8
227,3115455.287631509,1211667.553785447,5450.70138485549,Sign Face,NO PARKING ANY TIME,R7-1
228,3117144.582787556,1211922.051455328,5419.93799675105,Sign Face,,
229,3115748.005087361,1211187.974608811,5457.828369940898,Sign Face,"NO PARKING
VEHICLES WILL BE TOWED AT THE OWNER'S EXPENSE",R8-3
230,3115367.017515543,1211815.20209874,5454.130223578592,Sign Face,SPEED LIMIT 35,R2-1
231,3115748.037126749,1211187.99142949,5456.914574680309,Sign Face,"NO PARKING
STATE MC. NO. 
/YOUR 
HOG. 77-546
/TREMEC NO.

NO DUMPING
$1000.00 MIN.
30 YARDS",R8-3a
232,3114329.055083495,1213637.693000637,5422.479489917338,Sign Face,,
233,3115474.130796589,1211635.670589443,5451.825922788958,Sign Face,NO DUMPING,R5-33
234,3115455.097798136,1211667.436040696,5452.754839764615,Sign Face,RIGHT LANE ONLY,R3-17
235,3115474.166840901,1211635.648562364,5453.06187503475,Sign Face,NO PARKING,R7-1
236,3115633.696560749,1214227.941830389,5402.737504236281,Sign Face,AHEAD,W16-9P
237,3116084.501963988,1210550.160504095,5440.025386746705,Sign Face,NO DUMPING,R5-33
238,3116084.558032917,1210550.089216457,5440.8610124711,Sign Face,,
239,3116161.975607177,1210295.847461188,5433.397537154735,Sign Face,LANE ENDS,MUTCD W4-5
240,3116084.686991454,1210549.970270229,5441.492987835388,Sign Face,"NO PARKING
LOADED VEH. OR TRUCKS 2 TONS UNLADEN
<->",R8-3
241,3115316.275134765,1213378.246847276,5420.71493000863,Sign Face,HWY 287,D3-1
242,3115703.030597411,1214086.571234686,5403.740549842894,Sign Face,,D3-1
243,3115635.82157316,1214114.846795599,5401.961906996151,Sign Face,,W1-8L
244,3115633.549980549,1214227.828090562,5404.863811989208,Sign Face,AHEAD,W11-2
245,3115182.243961873,1213231.009038641,5417.389817239821,Sign Face,LEFT LANE MUST TURN LEFT,R3-7L
246,3115120.928182555,1213208.107284084,5416.415012601595,Sign Face,SHARE THE ROAD,W11-1
247,3115175.892954182,1213296.732236273,5419.290313012978,Sign Face,RAILROAD CROSSING,R15-1
248,3115164.997960286,1213279.262759955,5417.753242145757,Sign Face,RIGHT LANE MUST TURN RIGHT,R3-7R
249,3115175.863718241,1213296.796315049,5416.512723348518,Sign Face,NO TRAIN HORN,Unknown
250,3115208.057696308,1213172.29285517,5418.152364061257,Sign Face,,
251,3115541.239697753,1211526.329369452,5454.12733799992,Sign Face,"NO PARKING
THIS SIDE OF STREET
NO DUMPING
ALLOWED
$500.00 FINE",R8-3
252,3115164.937085448,1213279.228317613,5414.866909421663,Sign Face,Recycling Center,D9-2
253,3110697.240667195,1214949.633851467,5420.547934085112,Sign Face,STOP HERE FOR,R1-1
254,3115151.882236307,1213250.238278347,5426.458853872995,Sign Face,RAILROAD CROSSING,R15-1
255,3115225.827141397,1213301.910602362,5415.052575172166,Sign Face,,R4-7
256,3115630.303589558,1213880.790255275,5404.038947932303,Sign Face,,
257,3112418.300073017,1214496.195611517,5440.08171067673,Sign Face,NO PARKING,R7-1
258,3116018.009821044,1210731.491425523,5447.081570729395,Sign Face,NO PARKING ANY TIME,R7-1
259,3115830.708359659,1211051.108751064,5455.387038972755,Sign Face,NO PARKING ANY TIME NO DUMPING UNDER PENALTY OF PROSECUTION,R8-3
260,3115682.33155078,1211294.629726609,5456.575020526429,Sign Face,SPEED LIMIT 35,R2-1
261,3115308.06263863,1213324.515191595,5409.26736930726,Sign Face,,OM3
262,3110698.092514424,1214950.618261664,5420.159137363017,Sign Face,,
263,3115830.742001016,1211050.777143398,5458.047905454616,Sign Face,RIGHT LANE BICYCLE ONLY,R3-17
264,3115195.991262287,1213318.869050441,5421.791957190415,Sign Face,HWY 287,D3-1
265,3116182.960605346,1210223.544574733,5431.802288515945,Sign Face,,W1-8L
266,3115236.057317992,1213221.399625189,5418.869771014432,Sign Face,,R2-1
267,3116126.989396443,1210408.275275722,5435.212374497632,Sign Face,NO DUMPING $500 FINE 60 DAYS,R5-2
268,3115302.560674722,1213281.941252793,5421.461040999473,Sign Face,,D3-1
269,3116126.936531452,1210408.290093939,5436.719521077057,Sign Face,NO PARKING,R7-1
270,3115209.863916808,1213311.949343614,5426.392397173624,Sign Face,ONLY ONLY ONLY,R3-8
271,3112251.209458089,1214446.866968736,5445.443319224497,Sign Face,ANYTIME,R7-5
272,3115207.88067869,1213172.091007025,5426.701592912257,Sign Face,RAILROAD CROSSING,R15-1
273,3116042.246817097,1210673.772067511,5445.577942537845,Sign Face,,
274,3116042.266841715,1210673.738826646,5447.175207718194,Sign Face,"NO PARKING
BETWEEN 9 AM TO 5 PM MONDAY TO FRIDAY",R7-1
275,3115593.837960082,1213850.531456244,5403.363686541299,Sign Face,,R2-1
276,3115596.823230061,1213995.520099839,5402.0530502943,Sign Face,BEGIN,R10-15
277,3115552.35976835,1213915.1068428,5403.487125792882,Sign Face,,
278,3115635.641351603,1214114.789124701,5403.796562452694,Sign Face,,W11-2
279,3115596.804006428,1213995.452817124,5403.931991444012,Sign Face,CENTER LANE ONLY,R3-9
280,3115228.431142658,1213409.558941189,5426.347955038131,Sign Face,NORTH,M1-5
281,3115278.389359415,1213459.500337266,5414.007199401439,Sign Face,RIGHT LANE MUST TURN RIGHT,R3-7R
282,3115278.069766519,1213459.763861232,5411.238523820619,Sign Face,Recycling Center,D9-2
283,3115646.739795613,1211355.09926559,5454.748836421749,Sign Face,NO DUMPING,R5-33
284,3115411.959966104,1213536.542249701,5409.343594265362,Sign Face,NICKEL,D3-1
285,3116183.213716511,1210223.659115545,5428.905436609964,Sign Face,,
286,3115320.596447224,1213375.095773464,5408.284392122011,Sign Face,Push Button Wait For Walk Signal,R10-3e
287,3111650.002556894,1214418.193318426,5453.934719170313,Sign Face,,
288,3112271.519626647,1214493.364931586,5445.820756669423,Sign Face,NO PARKING,R7-1
289,3116568.818965128,1211864.081789597,5424.927852967958,Sign Face,6,M1-5
290,3115362.936498493,1211919.995327602,5450.611984324833,Sign Face,NO PARKING ANY TIME,R7-1
291,3115362.349376708,1211919.52635106,5451.97838130949,Sign Face,,
292,3115315.833792194,1213377.807907661,5420.689273465425,Sign Face,HWY 287,D3-1
293,3117061.081734496,1211900.005152431,5423.076017015358,Sign Face,,M6-1
294,3117114.480180541,1211880.089468837,5420.830409474751,Sign Face,,
295,3115363.396263712,1211919.815907029,5454.658269613565,Sign Face,,W11-2
296,3115363.258494343,1211919.930047349,5452.053169344843,Sign Face,,OM3
297,3117200.525961995,1211901.207830959,5419.170431259851,Sign Face,,R4-7
298,3116203.351759329,1210333.619152302,5434.579448528588,Sign Face,35,R2-1
