OBJECTID,X,Y,Z,Layer,Text,MUTCD,Longitude,Latitude
37,3114730.564283833,1213411.365962673,5421.361553067744,Sign Face,SPEED LIMIT 35,R2-1,-105.09096019341047,39.918467425533706
38,3115098.114936807,1212234.428680161,5443.550193449239,Sign Face,,W1-8L,-105.08966922928778,39.91523186239378
39,3115053.658283467,1213106.77631159,5418.296976217012,Sign Face,,M6-1L,-105.08981333152686,39.917627175921105
40,3115280.473521606,1211953.806093288,5450.899245285173,Sign Face,,W1-2,-105.08902375736554,39.914459185246294
41,3112473.052984191,1214495.88082453,5440.804793357433,Sign Face,NO PARKING,R8-3a,-105.09899112378933,39.92147291749689
42,3113129.129139586,1214349.009065903,5429.06062739569,Sign Face,,,-105.09665437876055,39.92106155991022
43,3115141.237950622,1213077.989722438,5419.865294874093,Sign Face,COMMERCE,D3-1,-105.0895015740554,39.9175470390791
44,3110746.260330128,1214915.560763291,5416.679659823954,Sign Face,,,-105.10514104631253,39.92264628636141
45,3115141.073748758,1213077.920036769,5416.064947870155,Sign Face,,,-105.08950216060518,39.91754684986631
46,3112639.961375101,1214434.948316392,5434.978715370874,Sign Face,,,-105.09839702441684,39.921303573334825
47,3115213.091084166,1212662.449272609,5428.397299425185,Sign Face,,,-105.08925227110583,39.91640539354405
48,3114905.987542602,1213224.324020331,5421.218849508346,Sign Face,NO CENTER STRIPE,W1-8L,-105.09033786032109,39.91795173920105
49,3115101.425406575,1213154.333176214,5420.535509435714,Sign Face,"NICKEL
INDUSTRIAL",D3-1,-105.08964225109462,39.917757121232775
50,3115101.77223295,1213154.111303452,5421.478706466735,Sign Face,NICKEL ST,D3-1,-105.08964101827301,39.91775650774673
51,3115169.974077737,1212146.628341721,5445.260283269466,Sign Face,NO PARKING ANY TIME,R7-1,-105.08941450068335,39.91498992176787
52,3113634.728704711,1214043.635250799,5430.308007753273,Sign Face,SPEED LIMIT 35,R2-1,-105.09485673573032,39.920216927269855
53,3115141.216324035,1213078.354971462,5419.859713011961,Sign Face,"COMMERCE ST, INDUSTRIAL LN",D3-1,-105.08950164512876,39.91754804202716
54,3115096.539399901,1212340.724956814,5443.428085521838,Sign Face,RIGHT LANE MUST TURN RIGHT,R3-7R,-105.0896730925599,39.91552368455163
55,3115096.247440978,1212340.967655178,5440.794163101495,Sign Face,MUST TURN RIGHT,Unknown,-105.08967412939457,39.91552435451044
56,3115308.119508544,1213324.839590399,5414.284193052034,Sign Face,,M6-1R,-105.08890254100987,39.91822256332252
57,3116985.249308959,1211874.386057277,5418.177310354293,Sign Face,,,-105.08294763223519,39.914219312962125
