OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude,matched,match_idx,match_distance,Source,File2_Lat,File2_Lon
984,1497640.859,303889.1418,1596.094116,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-05cd9db3-43f8-427e-a7d7-ae8eea1c8f6d,,W1-8R,3.072752527,3.933893994,,104.9656634,-79.43462948,40.15520978,True,120,0.3114711606677896,File 1,40.155209,-79.434633
986,1440286.384,341386.6783,1100.119458,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c56a3dc3-f2d1-4cf0-8e46-99419f9b18eb,"MILE
7
2",D10-1,0.819511823,2.650577075,,6.10652038,-79.6426465,40.254934,True,315,0.256243093442301,File 1,40.254932,-79.642648
989,1484515.166,305928.2134,1284.995938,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-87f74b10-232a-4f33-ace2-5f0b5492cecb,"MILE
83
.4",D10-1,0.499904603,4.017749818,,-135.5433405,-79.48172147,40.16010928,True,699,1.240299675999594,File 1,40.160115,-79.481734
990,1448038.795,331821.6234,1047.250112,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2c92f1b5-0b04-4449-8b29-f298bce9d635,"EAST
70 76
Breezewood
Harrisburg",D1-1,14.23046315,14.13233001,,131.361544,-79.61415374,40.22913578,True,363,0.4269718928483536,File 1,40.229139,-79.614151
991,1448027.876,331809.4516,1049.554746,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-2b0486a2-8c29-465a-8c1f-a78edb16ceea,"NEW STANTON
EXIT 75
WEST
TO
Greensburg
Wheeling WV
EXIT ONLY",E1-1a,15.2618827,19.66792901,,-48.09323367,-79.61419192,40.22910174,True,1274,0.5789019839250868,File 1,40.229106,-79.614188
992,1448025.101,331806.3117,1051.903683,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-dd4c2f79-fa16-44ea-b3b8-5a2ead1452c0,EXIT 75,E1-5P,9.088637292,19.66908669,,131.4531427,-79.61420162,40.22909296,True,35,1.8545535935509985,File 1,40.229106,-79.614188
993,1494680.16,303239.7507,1505.307731,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-272f388b-261e-41bb-8e78-58570cd4bd59,,W1-8L,3.103285375,4.036201799,,-136.296149,-79.44517502,40.15327195,True,724,0.20761680792945023,File 1,40.153273,-79.445173
994,1494712.382,303202.3311,1503.742607,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-12eca4e1-e69b-4017-ad0b-3ec6d916c1f6,,W1-8R,2.869853481,3.978080737,,45.08918627,-79.4450572,40.15317094,True,887,0.2599120637792781,File 1,40.15317,-79.44506
995,1446479.323,333216.8714,1056.004475,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4e04b03a-223e-4623-a545-82c1438cf75e,"MILE
7
4.3",D10-1,1.306792655,3.990781116,,147.6989579,-79.61984349,40.23287449,True,349,0.13861577144962242,File 1,40.232875,-79.619842
996,1430922.296,363888.6902,1084.951711,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-390ffeff-1ec2-4a2a-8ce3-d620a9ffa375,"WEST
76
MILE
67
.0",D10-1,1.5921942,5.028297225,,4.782633908,-79.6779484,40.3161329,True,497,0.10566570399606612,File 1,40.316132,-79.677948
