OBJECTID,ACTUAL_TEXT,AGREEMENT_CONTACT_INFO,CC_LATITUDE,CC_LONGITUDE,CC_OWNER_ID_SECTION,CC_SIGN_AGE,CC_SIGN_BACKGRD_COLOR_ID,CC_SIGN_BCK_STAMP,CC_SIGN_BORDER_COLOR_ID,CC_SIGN_COMP_CLASS_ID,CC_SIGN_DESCRIPTON,CC_SIGN_DIMENSIONS,CC_SIGN_DIR_ID,CC_SIGN_DIST_ED_OF_PAVE,CC_SIGN_FACI_ID,CC_SIGN_FAC_TYP_SIGN_ID,CC_SIGN_FUNC_LOC_ID,CC_SIGN_GROUND_MOUND_TYP_ID,CC_SIGN_INSPECTION_CMT_ID,CC_SIGN_INSPECTION_COND_ID,CC_SIGN_INSP_DATE,CC_SIGN_INT_LOC_ID,CC_SIGN_ITS_TYP_ID,CC_SIGN_LEGEND_COLOR_ID,CC_SIGN_MATERIAL_ID,CC_SIGN_MIN_LOC_ID,CC_SIGN_MM,CC_SIGN_MSR_ID,CC_SIGN_NOMENCLATURE_ID,CC_SIGN_NO_POST_GRD_MNT_ID,CC_SIGN_PENNDOT_MAT_NUM_ID,CC_SIGN_POST_MSR_ID,CC_SIGN_PTC_MAT_NUM_ID,CC_SIGN_PTC_PENNDOT_NUM_ID,CC_SIGN_RECON_COMM,CC_SIGN_RECON_PROJ,CC_SIGN_REFLECTIVITY_ID,CC_SIGN_SAP_EQIP_NBR,CC_SIGN_SHEETING_ID,CC_SIGN_SIZE,CC_SIGN_STATION,CC_SIGN_STR_MOUNT_TYPE_ID,CC_SIGN_TMP_OBJECTID,CC_SIGN_TMP_PHOTOB,CC_SIGN_TMP_PHOTOF,CC_SIGN_TP_LANE,COMMENT_ID,COMMENT_STR,DATE_UPDATE,EASTING,FABRICATION_AGREEMENT,INSTALL_AGREEMENT,INTERFACE_TRIGGER_DATE,IS_BREAKAWAY,JURISDICTION,LAT,LOAD_DATE,LOC_IDENT,NORTHING,NOTES,ORIGIN,ORIG_KEY,OWNER_ID,OWNER_NET,PERIODIC_MAINT_ID,POSITION_NAME,QA_DATA_FLAG,QA_PHOTO_FLAG,READABLE_TRAVEL_DIR,REPLACED,RETIRED,SIGN_CLASS_CODE_ID,SIGN_CURRENT_CONDITION,SIGN_NAME,SIGN_STATUS_ID,SIGN_SUPPORT_H_ID,SIGN_SUPPORT_ID,SIZE_HEIGHT,SIZE_UNIT_ID,SIZE_WIDTH,SUP_EXT_CD,SYMBOL,TRAVEL_DIRECTION,USER_UPDATE,VARIABLE_SIGN_HEIGHT,VARIABLE_SIGN_WIDTH
5997,,,40.149911,-79.454,1527,,9,0,1,1,Left Reverse Curve Sign,"16",1,316.525085449219,,3,1016,6,11,2,2017/10/13 00:00:00+00,5,4,1,3,8,85.06,3594,6181,3,,3594,,2961,,,1,1015676,1,48 X 48,,8,,,Images/TEBMain/2221464126128289611-STO.jpg,0,74121, ,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38200964,,,,,1520,,,,,,,,,100345,,EB/Shoulder/N/A/085.06/LeftReverseCurveSign#117523,1185,,,48,,48,,,,LRS_POST,,
5999,,,40.156567,-79.475834,1527,,9,0,1,1,Left Winding Road Sign,"16.0",1,521.182373046875,,3,1016,6,11,2,2017/10/13 00:00:00+00,5,4,1,3,8,83.79,3679,6186,3,,3679,,2973,,,1,1015760,1,48 X 48,,8,,,Images/TEBMain/8211402113774145134-STO.jpg,0,74404,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38201102,,,,,1520,,,,,,,,,100345,,EB/Shoulder/N/A/083.79/LeftWindingRoadSign#117607,1185,,,48,,48,,,,LRS_POST,,
6000,,,40.155755,-79.474288,1527,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",1,504.148895263672,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,8,3,8,83.9,3681,5054,2,,3681,,1464,,,3,1015762,1,12 X 48,,8,,,Images/TEBMain/7936970937733088384-STO.jpg,0,74405,"83.9",2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38201103,,,,,1520,,,,,,,,,100327,,EB/Shoulder/N/A/083.90/Double-DigitIntermediateReferenceLocationSign#117609,1185,,,48,,12,,,,LRS_POST,,
6001,,,40.155015,-79.472658,1527,,4,0,8,3,Enhanced Reference Location With Decimal Sign,"7.5",1,5.59170007705688,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,8,3,8,84,3682,5057,2,,3682,,1467,,,3,1015763,1,18 X 60,,8,,,Images/TEBMain/2227452487808517351-STO.jpg,0,74406,"84",2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38201104,,,,,1520,,,,,,,,,100327,,EB/Shoulder/N/A/084.00/EnhancedReferenceLocationWithDecimalSign#117610,1185,,,60,,18,,,,LRS_POST,,
6002,,,40.154417,-79.470762,1527,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",1,560.649108886719,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,8,3,8,84.1,3683,5054,2,,3683,,1464,,,3,1015764,1,12 X 48,,8,,,Images/TEBMain/9206018750988320939-STO.jpg,0,74407,"84.1",2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38201105,,,,,1520,,,,,,,,,100327,,EB/Shoulder/N/A/084.10/Double-DigitIntermediateReferenceLocationSign#117611,1185,,,48,,12,,,,LRS_POST,,
6003,,,40.154584,-79.470722,1527,,9,0,11,1,Chevron Alignment Sign,"12",1,54.8661003112793,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,1,3,3,84.09,3684,6212,2,,3684,,2992,,,1,1015765,1,36 X 48,,8,,,Images/TEBMain/2025789539134404331-STO.jpg,0,74408, ,2024/02/28 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38212000,,,,,1520,,,,,,,,,100345,,EB/Median/N/A/084.09/ChevronAlignmentSign#117612,1185,,,48,,36,,,,LRS_POST,,
6004,,,40.154458,-79.470379,1527,,9,0,11,1,Chevron Alignment Sign,"12",1,95.1443023681641,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,1,3,3,84.11,3685,6212,2,,3685,,2992,,,1,1015766,1,36 X 48,,8,,,Images/TEBMain/7189547761987045277-STO.jpg,0,74409, ,2024/02/28 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38212001,,,,,1520,,,,,,,,,100345,,EB/Median/N/A/084.11/ChevronAlignmentSign#117613,1185,,,48,,36,,,,LRS_POST,,
6005,,,40.154326,-79.470064,1527,,9,0,11,1,Chevron Alignment Sign,"12",1,89.5530014038086,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,1,3,3,84.13,3686,6212,2,,3686,,2992,,,1,1015767,1,36 X 48,,8,,,Images/TEBMain/6681736397562514954-STO.jpg,0,74410, ,2024/02/28 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38212002,,,,,1520,,,,,,,,,100345,,EB/Median/N/A/084.13/ChevronAlignmentSign#117614,1185,,,48,,36,,,,LRS_POST,,
6006,,,40.154006,-79.469466,1527,,9,0,11,1,Chevron Alignment Sign,"12",1,78.7354965209961,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,1,3,3,84.17,3688,6212,2,,3688,,2992,,,1,1015769,1,36 X 48,,8,,,Images/TEBMain/9128050748557172701-STO.jpg,0,74411, ,2024/02/28 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38212003,,,,,1520,,,,,,,,,100345,,EB/Median/N/A/084.17/ChevronAlignmentSign#117616,1185,,,48,,36,,,,LRS_POST,,
6007,,,40.153815,-79.469173,1527,,9,0,11,1,Chevron Alignment Sign,"12",1,98.1788024902344,,3,1016,5,11,2,2017/10/13 00:00:00+00,5,4,1,3,3,84.2,3689,6212,2,,3689,,2992,,,1,1015770,1,36 X 48,,8,,,Images/TEBMain/4400109746743808368-STO.jpg,0,74412, ,2024/02/28 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38212004,,,,,1520,,,,,,,,,100345,,EB/Median/N/A/084.20/ChevronAlignmentSign#117617,1185,,,48,,36,,,,LRS_POST,,
