OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude
1085,1491869.93,302125.6266,1423.753146,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4fbb2b10-01f7-4bd7-81c7-50156542dd9b,INTERSTATE 76 WEST MILE 85.0,D10-1,0.579560928,4.733531726,,56.52666656,-79.45514967,40.15006563
1086,1491869.946,302125.5657,1425.361073,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c8b3b011-a338-47b1-bcf1-44b818a04556,WEST 76 MILE 85.0,D10-1,0.418074512,3.804111006,,-150.7883777,-79.45514961,40.15006546
1087,1491869.946,302125.6106,1422.791789,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-66ac83f9-d512-4901-ab47-c022060a4adf,,D3-1,0.491459846,0.368236241,,57.75592435,-79.45514962,40.15006558
1088,1498408.876,303192.7969,1617.953776,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-47f79405-8137-4711-a6c2-cdce794bd244,"MILE
8
6
.4",D10-1,0.917287835,2.878494573,,-22.59590894,-79.43183491,40.15333877
1089,1463295.862,321468.1239,1031.620798,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-73359577-79d0-4fe9-af70-985a29292635,"MILE
78.3",D10-1,11.09102864,4.594309009,,-70.78179197,-79.55876308,40.20159161
1090,1463294.772,321475.8935,1031.377249,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-d2ee01e7-e392-4110-a589-3f039cfc7df0,MILE 78.3,D10-1,14.27796529,4.571513797,,-99.92900596,-79.55876755,40.20161287
1091,1453071.529,326824.9687,1048.919865,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-078e186c-0735-423b-aecc-c901c9b274ad,,W1-8L,2.972301692,3.820939507,,166.9565257,-79.59575911,40.21571276
1092,1453072.083,326825.7312,1042.964944,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-64b4406a-23a5-40ef-9efc-2c8a42878124,Push Button Wait For Walk Signal,R10-3e,0.726453719,1.034597481,,-21.48699493,-79.59575718,40.21571488
1093,1428817.366,376326.0218,1064.238097,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-39ec0b70-2e5c-4ccc-a309-fe5957fdfa4e,"MILE
64.4",D10-1,1.002188009,4.101259904,,37.12210079,-79.68647295,40.35013932
1094,1433518.929,346316.14,999.4641661,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-55b1ee2f-dd55-4d7b-8600-35e6ed088539,,OM3,1.092505781,2.831955719,,149.3138416,-79.66727086,40.26806186
